Freq.	V(vin)/-I(R1)
6.60693448007594e+004	(6.87035949929136e+001dB,3.81873053629474e+000°)
6.76082975391980e+004	(6.87071306206483e+001dB,3.90471591386557e+000°)
6.91830970918934e+004	(6.87108274832653e+001dB,3.99249683082140e+000°)
7.07945784384136e+004	(6.87146926730210e+001dB,4.08210084231371e+000°)
7.24435960074988e+004	(6.87187335695572e+001dB,4.17355519085847e+000°)
7.41310241300915e+004	(6.87229578492090e+001dB,4.26688673846785e+000°)
7.58577575029181e+004	(6.87273734943848e+001dB,4.36212189374220e+000°)
7.76247116628689e+004	(6.87319888029885e+001dB,4.45928653365396e+000°)
7.94328234724279e+004	(6.87368123978562e+001dB,4.55840591974781e+000°)
8.12830516164096e+004	(6.87418532361722e+001dB,4.65950460847568e+000°)
8.31763771102668e+004	(6.87471206188272e+001dB,4.76260635537951e+000°)
8.51138038202373e+004	(6.87526241996768e+001dB,4.86773401283055e+000°)
8.70963589956077e+004	(6.87583739946531e+001dB,4.97490942103114e+000°)
8.91250938133742e+004	(6.87643803906791e+001dB,5.08415329198334e+000°)
9.12010839355906e+004	(6.87706541543275e+001dB,5.19548508612908e+000°)
9.33254300796988e+004	(6.87772064401639e+001dB,5.30892288136901e+000°)
9.54992586021432e+004	(6.87840487987044e+001dB,5.42448323417139e+000°)
9.77237220955807e+004	(6.87911931839147e+001dB,5.54218103248991e+000°)
9.99999999999996e+004	(6.87986519601687e+001dB,5.66202934021931e+000°)
1.02329299228075e+005	(6.88064379085807e+001dB,5.78403923293074e+000°)
1.04712854805090e+005	(6.88145642326144e+001dB,5.90821962464621e+000°)
1.07151930523760e+005	(6.88230445628682e+001dB,6.03457708543189e+000°)
1.09647819614318e+005	(6.88318929609252e+001dB,6.16311564961620e+000°)
1.12201845430196e+005	(6.88411239221522e+001dB,6.29383661446805e+000°)
1.14815362149688e+005	(6.88507523773189e+001dB,6.42673832920721e+000°)
1.17489755493952e+005	(6.88607936929052e+001dB,6.56181597425924e+000°)
1.20226443461741e+005	(6.88712636699524e+001dB,6.69906133071597e+000°)
1.23026877081238e+005	(6.88821785413076e+001dB,6.83846254001638e+000°)
1.25892541179416e+005	(6.88935549671018e+001dB,6.98000385392475e+000°)
1.28824955169313e+005	(6.89054100282928e+001dB,7.12366537495214e+000°)
1.31825673855640e+005	(6.89177612180980e+001dB,7.26942278744470e+000°)
1.34896288259165e+005	(6.89306264311326e+001dB,7.41724707964866e+000°)
1.38038426460288e+005	(6.89440239500622e+001dB,7.56710425715653e+000°)
1.41253754462275e+005	(6.89579724295736e+001dB,7.71895504824339e+000°)
1.44543977074592e+005	(6.89724908774572e+001dB,7.87275460171625e+000°)
1.47910838816820e+005	(6.89875986325972e+001dB,8.02845217802245e+000°)
1.51356124843620e+005	(6.90033153396525e+001dB,8.18599083449719e+000°)
1.54881661891247e+005	(6.90196609202184e+001dB,8.34530710577286e+000°)
1.58489319246111e+005	(6.90366555402504e+001dB,8.50633068052612e+000°)
1.62181009735892e+005	(6.90543195735368e+001dB,8.66898407590070e+000°)
1.65958690743755e+005	(6.90726735610089e+001dB,8.83318231111538e+000°)
1.69824365246174e+005	(6.90917381656820e+001dB,8.99883258194565e+000°)
1.73780082874937e+005	(6.91115341230284e+001dB,9.16583393795463e+000°)
1.77827941003891e+005	(6.91320821865941e+001dB,9.33407696454181e+000°)
1.81970085860998e+005	(6.91534030686848e+001dB,9.50344347207651e+000°)
1.86208713666286e+005	(6.91755173759635e+001dB,9.67380619458384e+000°)
1.90546071796324e+005	(6.91984455398211e+001dB,9.84502850065453e+000°)
1.94984459975804e+005	(6.92222077414069e+001dB,1.00169641194520e+001°)
