-9;-9.0362;0.8902;-9.0362;0.8902
9;9.0362;-0.8902;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,3.0084,4.0112,5.0141,6.0169,7.0306,8.0225,9.0362;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185,-0.18209,-0.24278,-0.28324,-0.3844,-0.48556,-0.58672,-0.68788,-0.78904,-0.8902
;;;;
-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,3.0084,4.0112,5.0141,6.0169,7.0306,8.0225,9.0362;;;;
0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185,-0.18209,-0.24278,-0.28324,-0.3844,-0.48556,-0.58672,-0.68788,-0.78904,-0.8902;;;;
;;;;
v1;V(vout);;;
-9.00E+00;9.00E-01;-9;0.8998945;
-8.90E+00;8.90E-01;-9,-8.9;0.8998945,0.8898946;
-8.80E+00;8.80E-01;-9,-8.9,-8.8;0.8998945,0.8898946,0.8798947;
-8.70E+00;8.70E-01;-9,-8.9,-8.8,-8.7;0.8998945,0.8898946,0.8798947,0.8698949;
-8.60E+00;8.60E-01;-9,-8.9,-8.8,-8.7,-8.6;0.8998945,0.8898946,0.8798947,0.8698949,0.859895;
-8.50E+00;8.50E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951;
-8.40E+00;8.40E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952;
-8.30E+00;8.30E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954;
-8.20E+00;8.20E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955;
-8.10E+00;8.10E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956;
-8.00E+00;8.00E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958;
-7.90E+00;7.90E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959;
-7.80E+00;7.80E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896;
-7.70E+00;7.70E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961;
-7.60E+00;7.60E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963;
-7.50E+00;7.50E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964;
-7.40E+00;7.40E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965;
-7.30E+00;7.30E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967;
-7.20E+00;7.20E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967;
-7.10E+00;7.10E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969;
-7.00E+00;7.00E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897;
-6.90E+00;6.90E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9;0.8998945,0.8898946,0.8798947,0.8698949,0.859895,0.8498951,0.8398952,0.8298954,0.8198955,0.8098956,0.7998958,0.7898959,0.779896,0.7698961,0.7598963,0.7498964,0.7398965,0.7298967,0.7198967,0.7098969,0.699897,0.6898971;
