frequency;MAG;PHA
1384.007877;-11.07461347;-69.36437642
1389.122744;-11.1300071;-69.47401944
1394.256513;-11.18859167;-69.54828817
1399.409255;-11.24792304;-69.62702741
1404.581041;-11.30460732;-69.7353377
1409.771939;-11.36196876;-69.82489991
1414.982022;-11.42272589;-69.89115107
1420.211359;-11.48428909;-69.95628848
1425.460022;-11.5440744;-70.06474448
1430.728083;-11.60419981;-70.1297972
1436.015613;-11.66375149;-70.21185991
1441.322684;-11.72600018;-70.29143848
1446.649369;-11.7861946;-70.36891203
1451.995739;-11.85219692;-70.44520019
1457.361867;-11.91051675;-70.50636598
1462.747828;-11.97332926;-70.59978122
1468.153693;-12.04202683;-70.68421324
1473.579536;-12.10451553;-70.75264952
1479.025432;-12.1684239;-70.84673793
1484.491454;-12.23470267;-70.92204978
1489.977677;-12.29816816;-70.99062502
1495.484175;-12.36553732;-71.07228927
1501.011024;-12.43660973;-71.14941745
1506.558298;-12.50053672;-71.21727365
1512.126073;-12.56530688;-71.28761231
1517.714425;-12.63724576;-71.36993601
1523.323429;-12.70412606;-71.43723758
1528.953163;-12.771221;-71.49461607
1534.603703;-12.84316525;-71.56205752
1540.275125;-12.91295379;-71.65701003
1545.967507;-12.98141311;-71.68235736
1551.680926;-13.06087576;-71.76303098
1557.415461;-13.12860624;-71.83565815
1563.171188;-13.19930418;-71.93385364
1568.948187;-13.27238881;-71.99120678
1574.746536;-13.34843347;-72.05370283
1580.566314;-13.41984792;-72.08385717
1586.407599;-13.49390219;-72.1469052
1592.270473;-13.56953646;-72.22027254
1598.155014;-13.64560956;-72.26527138
1604.061302;-13.72296029;-72.34209276
1609.989418;-13.80451782;-72.39700875
1615.939443;-13.88382648;-72.43635261
1621.911457;-13.9667826;-72.4992368
1627.905542;-14.04098172;-72.58196831
1633.921779;-14.12403778;-72.59056713
1639.96025;-14.20073627;-72.64960949
1646.021037;-14.28455132;-72.70582415
1652.104224;-14.37059367;-72.76046961
1658.209892;-14.45200126;-72.80225761
1664.338124;-14.53685609;-72.87666464
1670.489005;-14.62325042;-72.89000516
1676.662617;-14.7087781;-72.94614488
1682.859046;-14.79812733;-72.99725275
1689.078374;-14.88215312;-73.0211688
1695.320687;-14.97830761;-73.05303165
1701.58607;-15.0679853;-73.13277866
1707.874607;-15.15993844;-73.16476307
1714.186385;-15.24786497;-73.18709691
1720.52149;-15.34434692;-73.20313462
1726.880007;-15.43452841;-73.24333663
1733.262023;-15.5279085;-73.25386707
1739.667625;-15.62577905;-73.28136217
1746.0969;-15.7233941;-73.34346989
1752.549936;-15.82339534;-73.35768151
1759.026821;-15.92344373;-73.36671401
1765.527642;-16.02052522;-73.38523858
1772.052487;-16.12570767;-73.37229074
1778.601447;-16.22514002;-73.39517365
1785.17461;-16.32753798;-73.45348991
1791.772065;-16.42992337;-73.44806341
1798.393902;-16.54009238;-73.39518449
1805.040212;-16.65118229;-73.43245297
1811.711084;-16.76069455;-73.45641102
1818.40661;-16.86895721;-73.41084417
1825.12688;-16.98302677;-73.40060654
1831.871986;-17.09343463;-73.41719061
1838.64202;-17.20720548;-73.36975795
1845.437075;-17.31960078;-73.37744906
1852.257241;-17.44283644;-73.37617757
1859.102613;-17.56009763;-73.35866783
1865.973283;-17.67913668;-73.30258151
1872.869345;-17.80613737;-73.33560388
1879.790893;-17.93527126;-73.26131935
1886.738021;-18.06174866;-73.20710496
1893.710823;-18.18297517;-73.14847141
1900.709394;-18.31063155;-73.0651014
1907.73383;-18.44389347;-73.0793048
1914.784226;-18.57802532;-73.00673675
1921.860679;-18.72249911;-72.93295588
1928.963283;-18.85010379;-72.89457817
1936.092137;-18.98820984;-72.79968937
1943.247337;-19.13482742;-72.71352523
1950.42898;-19.27847494;-72.60407863
1957.637164;-19.42158611;-72.57217851
1964.871988;-19.57230908;-72.48999772
1972.133549;-19.70915052;-72.42794774
1979.421946;-19.86513464;-72.27444857
1986.73728;-20.02479399;-72.12251293
1994.079648;-20.1891338;-71.99398834
2001.449152;-20.3468297;-71.87761487
2008.845891;-20.50406315;-71.75990505
2016.269966;-20.6809498;-71.67216091
2023.721479;-20.84200875;-71.49508621
2031.200529;-21.01668373;-71.29803576
2038.70722;-21.18144462;-71.14831017
2046.241654;-21.3583215;-70.95668111
2053.803932;-21.54237799;-70.73538709
2061.394158;-21.72282347;-70.71385959
2069.012436;-21.90944458;-70.29590908
2076.658868;-22.108698;-70.1005079
2084.333559;-22.30900094;-69.81674194
2092.036613;-22.51016735;-69.54533054
2099.768136;-22.70255285;-69.27543816
2107.528232;-22.90222052;-68.94438348
2115.317006;-23.11769561;-68.65516817
2123.134566;-23.33547909;-68.31566666
2130.981017;-23.56239579;-67.958514
2138.856466;-23.77993891;-67.51354861
2146.76102;-24.029931;-67.14109464
2154.694787;-24.26804153;-66.62465831
2162.657875;-24.47635972;-66.16922198
2170.650391;-24.73304579;-65.71703308
2178.672446;-25.00850028;-65.14249209
2186.724148;-25.28761931;-64.40864223
2194.805606;-25.53939589;-63.85350541
2202.916931;-25.80899014;-63.29200456
2211.058233;-26.09525637;-62.47189901
2219.229623;-26.39386065;-61.72080555
2227.431211;-26.67178634;-60.77683013
2235.663111;-27.01388386;-59.70790566
2243.925432;-27.30893507;-58.90505832
2252.218289;-27.64578049;-57.64380779
2260.541793;-27.96980848;-56.25005511
2268.896059;-28.29111746;-55.30467917
2277.2812;-28.64400532;-53.62712423
2285.697329;-28.99789801;-51.93687449
2294.144562;-29.36251595;-50.27934397
2302.623013;-29.72027349;-48.24325277
2311.132798;-30.08561988;-46.37568103
2319.674032;-30.47394816;-44.02001681
2328.246832;-30.87593665;-41.64932891
2336.851315;-31.20495512;-38.92933829
2345.487597;-31.59652967;-35.67707277
2354.155796;-31.9213022;-32.91856888
2362.85603;-32.29373606;-29.01125348
2371.588418;-32.65645583;-25.48025957
2380.353077;-32.87399617;-21.61258821
2389.150129;-33.05821379;-17.17081304
2397.979691;-33.32291455;-12.96358953
2406.841885;-33.42181942;-8.129658401
2415.73683;-33.47746728;-3.400211514
2424.664649;-33.5270042;1.269124139
2433.625462;-33.43054607;6.36200406
2442.619392;-33.34569376;10.83669411
2451.64656;-33.14727587;15.29045411
2460.70709;-32.9187682;19.36651448
2469.801105;-32.67254708;23.88922012
2478.928728;-32.33574282;27.66997688
2488.090085;-32.02532541;31.18780089
2497.285299;-31.69093572;34.66159426
2506.514496;-31.35478452;37.66580915
2515.7778;-30.94813893;40.2482676
2525.07534;-30.54257787;42.99027471
2534.40724;-30.21202297;45.05294825
2543.773628;-29.8422085;47.20069792
2553.174631;-29.44850177;49.22517051
2562.610377;-29.070363;50.89142684
2572.080995;-28.71215937;52.58348157
2581.586614;-28.3352443;53.90179463
2591.127362;-28.0288792;55.39415481
2600.70337;-27.69332186;56.47994776
2610.314768;-27.3387127;57.6778512
2619.961687;-27.03807848;58.78243338
2629.644258;-26.74197721;59.72380111
2639.362612;-26.42172174;60.64372723
2649.116883;-26.10670141;61.54313834
2658.907202;-25.83860004;62.26065169
2668.733704;-25.58857236;63.00812374
2678.596521;-25.29559773;63.6805455
2688.495788;-25.05877363;64.29307559
2698.431639;-24.77608871;64.8791686
2708.404211;-24.54738413;65.41156746
2718.413638;-24.27417759;65.69864336
2728.460057;-24.04340299;66.35563791
2738.543604;-23.80857525;66.83121681
2748.664417;-23.58384588;67.18178692
2758.822634;-23.35734171;67.64904714
2769.018392;-23.12519312;67.95888552
2779.25183;-22.89639531;68.19650789
2789.523088;-22.70576689;68.44531924
2799.832306;-22.48733081;68.95838065
2810.179623;-22.30444153;69.21265726
2820.56518;-22.09595996;69.4525328
2830.98912;-21.90424592;69.62918429
2841.451583;-21.71093362;69.94151009
2851.952712;-21.53012802;70.24591696
2862.49265;-21.33778912;70.28547344
2873.071541;-21.17995036;70.49469609
2883.689527;-20.98302898;70.68141565
2894.346755;-20.82186524;70.79582934
2905.043368;-20.65965082;70.89934945
2915.779513;-20.48255573;71.06146885
2926.555335;-20.32220403;71.2059873
2937.370982;-20.16009632;71.34511955
