#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151AA5B7E
#Date Time: 2020-08-24 01:50:26.996
#Sample rate: 2e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 8 kHz
#Period: 125 us
#Amplitude: 6 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.0001525474083256458,6.037684571583224,5.157968856367272
0.0001525974083256458,6.037684571583224,5.157968856367272
0.0001526474083256458,6.037684571583224,5.157968856367272
0.0001526974083256458,6.037684571583224,5.178200636295559
0.0001527474083256458,6.037684571583224,5.178200636295559
0.0001527974083256458,6.037684571583224,5.178200636295559
0.0001528474083256458,6.037684571583224,5.178200636295559
0.0001528974083256458,6.015884313081894,5.198432416223845
0.0001529474083256458,6.015884313081894,5.198432416223845
0.0001529974083256458,6.015884313081894,5.198432416223845
0.0001530474083256458,6.037684571583224,5.218664196152131
0.0001530974083256458,6.015884313081894,5.218664196152131
0.0001531474083256458,6.037684571583224,5.218664196152131
0.0001531974083256458,6.015884313081894,5.218664196152131
0.0001532474083256458,6.037684571583224,5.218664196152131
0.0001532974083256458,6.015884313081894,5.218664196152131
0.0001533474083256458,6.015884313081894,5.218664196152131
0.0001533974083256458,6.015884313081894,5.218664196152131
0.0001534474083256458,6.015884313081894,5.218664196152131
0.0001534974083256458,6.037684571583224,5.238895976080419
0.0001535474083256458,6.037684571583224,5.238895976080419
0.0001535974083256458,6.037684571583224,5.238895976080419
0.0001536474083256458,6.037684571583224,5.238895976080419
0.0001536974083256458,6.037684571583224,5.259127756008705
0.0001537474083256458,6.037684571583224,5.259127756008705
0.0001537974083256458,6.037684571583224,5.259127756008705
0.0001538474083256458,6.037684571583224,5.259127756008705
0.0001538974083256458,6.015884313081894,5.279359535936992
0.0001539474083256458,6.015884313081894,5.259127756008705
0.0001539974083256458,6.037684571583224,5.279359535936992
0.0001540474083256458,6.015884313081894,5.279359535936992
0.0001540974083256458,6.015884313081894,5.279359535936992
0.0001541474083256458,6.037684571583224,5.279359535936992
0.0001541974083256458,6.015884313081894,5.279359535936992
0.0001542474083256458,6.037684571583224,5.279359535936992
0.0001542974083256458,6.037684571583224,5.279359535936992
0.0001543474083256458,6.015884313081894,5.279359535936992
0.0001543974083256458,6.015884313081894,5.299591315865278
0.0001544474083256458,6.037684571583224,5.299591315865278
0.0001544974083256458,6.037684571583224,5.299591315865278
0.0001545474083256458,6.037684571583224,5.319823095793565
0.0001545974083256458,6.037684571583224,5.299591315865278
0.0001546474083256458,6.015884313081894,5.319823095793565
0.0001546974083256458,6.015884313081894,5.319823095793565
0.0001547474083256458,6.037684571583224,5.319823095793565
0.0001547974083256458,6.015884313081894,5.319823095793565
0.0001548474083256458,6.037684571583224,5.319823095793565
0.0001548974083256458,6.015884313081894,5.319823095793565
0.0001549474083256458,6.015884313081894,5.319823095793565
0.0001549974083256458,6.015884313081894,5.340054875721852
0.0001550474083256458,6.015884313081894,5.340054875721852
0.0001550974083256458,6.037684571583224,5.340054875721852
0.0001551474083256458,6.015884313081894,5.340054875721852
0.0001551974083256458,6.015884313081894,5.340054875721852
0.0001552474083256458,6.015884313081894,5.340054875721852
0.0001552974083256458,6.037684571583224,5.340054875721852
0.0001553474083256458,6.015884313081894,5.360286655650138
0.0001553974083256458,6.015884313081894,5.360286655650138
0.0001554474083256458,6.037684571583224,5.380518435578425
0.0001554974083256458,6.037684571583224,5.360286655650138
0.0001555474083256458,6.037684571583224,5.360286655650138
0.0001555974083256458,6.037684571583224,5.360286655650138
0.0001556474083256458,6.015884313081894,5.360286655650138
0.0001556974083256458,6.015884313081894,5.380518435578425
0.0001557474083256458,6.015884313081894,5.380518435578425
0.0001557974083256458,6.015884313081894,5.380518435578425
0.0001558474083256458,6.015884313081894,5.380518435578425
0.0001558974083256458,6.015884313081894,5.380518435578425
0.0001559474083256458,6.037684571583224,5.400750215506712
0.0001559974083256458,6.015884313081894,5.400750215506712
0.0001560474083256458,6.015884313081894,5.400750215506712
0.0001560974083256458,6.037684571583224,5.400750215506712
0.0001561474083256458,6.015884313081894,5.400750215506712
0.0001561974083256458,6.015884313081894,5.400750215506712
0.0001562474083256458,6.037684571583224,5.400750215506712
0.0001562974083256458,6.015884313081894,5.400750215506712
0.0001563474083256458,6.037684571583224,5.400750215506712
