Freq.	V(vin)/I(R3)
1.69422078069601e+005	(8.20746599149683e+001dB,1.79963237299650e+002°)
1.73368425226266e+005	(8.20745964497729e+001dB,1.79962474011030e+002°)
1.77406694616787e+005	(8.20745302563426e+001dB,1.79961699271716e+002°)
1.81539027385050e+005	(8.20744612302352e+001dB,1.79960913229273e+002°)
1.85767614548586e+005	(8.20743892642395e+001dB,1.79960116059874e+002°)
1.90094698160280e+005	(8.20743142484277e+001dB,1.79959307970256e+002°)
1.94522572497140e+005	(8.20742360702241e+001dB,1.79958489199769e+002°)
1.99053585276748e+005	(8.20741546144928e+001dB,1.79957660022494e+002°)
2.03690138902056e+005	(8.20740697636446e+001dB,1.79956820749448e+002°)
2.08434691735167e+005	(8.20739813977665e+001dB,1.79955971730865e+002°)
2.13289759400796e+005	(8.20738893947747e+001dB,1.79955113358549e+002°)
2.18257916120083e+005	(8.20737936305940e+001dB,1.79954246068295e+002°)
2.23341796075481e+005	(8.20736939793651e+001dB,1.79953370342369e+002°)
2.28544094807437e+005	(8.20735903136826e+001dB,1.79952486712053e+002°)
2.33867570643599e+005	(8.20734825048656e+001dB,1.79951595760221e+002°)
2.39315046161319e+005	(8.20733704232633e+001dB,1.79950698123958e+002°)
2.44889409684223e+005	(8.20732539385991e+001dB,1.79949794497204e+002°)
2.50593616813636e+005	(8.20731329203536e+001dB,1.79948885633393e+002°)
2.56430691995682e+005	(8.20730072381914e+001dB,1.79947972348096e+002°)
2.62403730124886e+005	(8.20728767624320e+001dB,1.79947055521628e+002°)
2.68515898185126e+005	(8.20727413645689e+001dB,1.79946136101599e+002°)
2.74770436928812e+005	(8.20726009178382e+001dB,1.79945215105403e+002°)
2.81170662595174e+005	(8.20724552978397e+001dB,1.79944293622591e+002°)
2.87719968668578e+005	(8.20723043832108e+001dB,1.79943372817118e+002°)
2.94421827677794e+005	(8.20721480563580e+001dB,1.79942453929417e+002°)
3.01279793037178e+005	(8.20719862042442e+001dB,1.79941538278274e+002°)
3.08297500930740e+005	(8.20718187192351e+001dB,1.79940627262453e+002°)
3.15478672240096e+005	(8.20716455000046e+001dB,1.79939722362036e+002°)
3.22827114517327e+005	(8.20714664524989e+001dB,1.79938825139425e+002°)
3.30346724003797e+005	(8.20712814909601e+001dB,1.79937937239958e+002°)
