-9;-9.0362;8.032;-9.0362;8.032
0.75;0.74121;-7.5363;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363
1;0.99191;-8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421
1.25;1.2426;-8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421
1.5;1.4933;-8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421
1.75;1.744;-8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421
2;1.9947;-8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744,1.9947;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421
2.5;2.4961;-8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744,1.9947,2.4961;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421
3;2.9975;-8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,2.9975;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421
4;4.0112;-8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,2.9975,4.0112;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421
5;5.0141;-8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,2.9975,4.0112,5.0141;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421
6;6.0169;-8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,2.9975,4.0112,5.0141,6.0169;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421
7;7.0197;-8.032;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,2.9975,4.0112,5.0141,6.0169,7.0197;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.032
8;8.0225;-8.032;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,2.9975,4.0112,5.0141,6.0169,7.0197,8.0225;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.032,-8.032
9;9.0471;-8.032;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,2.9975,4.0112,5.0141,6.0169,7.0197,8.0225,9.0471;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.032,-8.032,-8.032
;;;;
9.0362,8.0334,7.0306,6.0169,5.0141,4.0112,3.0084,2.507,1.9947,1.744,1.4933,1.2426,0.99191,0.73031,0.49051,0.42511,0.087201,0.0109,0.087201,0.2398,0.49051,0.74121,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,2.9975,4.0112,5.0141,6.0169,7.0197,8.0225,9.0471;;;;
8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276,-7.5363,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.0421,-8.032,-8.032,-8.032;;;;
;;;;
v1;V(vout);;;
-9.00E+00;7.50E+00;-9;7.49588;
-8.90E+00;7.50E+00;-9,-8.9;7.49588,7.495873;
-8.80E+00;7.50E+00;-9,-8.9,-8.8;7.49588,7.495873,7.495866;
-8.70E+00;7.50E+00;-9,-8.9,-8.8,-8.7;7.49588,7.495873,7.495866,7.495859;
-8.60E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6;7.49588,7.495873,7.495866,7.495859,7.495852;
-8.50E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845;
-8.40E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838;
-8.30E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831;
-8.20E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824;
-8.10E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818;
-8.00E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811;
-7.90E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804;
-7.80E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797;
-7.70E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579;
-7.60E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783;
-7.50E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776;
-7.40E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769;
-7.30E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762;
-7.20E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755;
-7.10E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748;
-7.00E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741;
-6.90E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734;
-6.80E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728;
-6.70E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728,7.49572;
-6.60E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728,7.49572,7.495714;
-6.50E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728,7.49572,7.495714,7.495707;
-6.40E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728,7.49572,7.495714,7.495707,7.495699;
-6.30E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728,7.49572,7.495714,7.495707,7.495699,7.495693;
-6.20E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728,7.49572,7.495714,7.495707,7.495699,7.495693,7.495686;
-6.10E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728,7.49572,7.495714,7.495707,7.495699,7.495693,7.495686,7.495679;
-6.00E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728,7.49572,7.495714,7.495707,7.495699,7.495693,7.495686,7.495679,7.495672;
-5.90E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728,7.49572,7.495714,7.495707,7.495699,7.495693,7.495686,7.495679,7.495672,7.495665;
-5.80E+00;7.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001;7.49588,7.495873,7.495866,7.495859,7.495852,7.495845,7.495838,7.495831,7.495824,7.495818,7.495811,7.495804,7.495797,7.49579,7.495783,7.495776,7.495769,7.495762,7.495755,7.495748,7.495741,7.495734,7.495728,7.49572,7.495714,7.495707,7.495699,7.495693,7.495686,7.495679,7.495672,7.495665,7.495658;
